N,seed,l2,runtime_s
20000,68,0.00886111,0.3372
20000,69,0.00439605,0.3428
20000,70,0.00526130,0.3409
20000,71,0.00498271,0.3418
50000,42,0.00242269,0.8603
50000,43,0.00270500,0.8575
50000,44,0.00557923,0.8586
50000,45,0.00374899,0.8586
50000,46,0.00294249,0.8628
50000,47,0.00254242,0.8631
50000,48,0.00242667,0.8620
50000,49,0.00224431,0.8626
50000,50,0.00421536,0.8560
50000,51,0.00350137,0.8607
50000,52,0.00248444,0.8602
50000,53,0.00697935,0.8648
50000,54,0.00270189,0.8622
50000,55,0.00213554,0.8597
50000,56,0.00606915,0.8631
50000,57,0.00582657,0.8645
50000,58,0.00319620,0.8616
50000,59,0.00248718,0.8622
50000,60,0.00352986,0.8640
50000,61,0.00211426,0.8716
50000,62,0.00204637,0.8721
50000,63,0.00311698,0.8701
50000,64,0.00208554,0.8730
50000,65,0.00175220,0.8713
50000,66,0.00278881,0.8678
50000,67,0.00215579,0.8760
50000,68,0.00523274,0.8712
50000,69,0.00300175,0.8736
50000,70,0.00256267,0.8715
50000,71,0.00175067,0.8704
