N,L2_h,Linf,rel_L2,total_weight,glob_std,runtime_s
1000,0.02240453412860915,0.03168035040198461,0.010203305437836879,1.0000000000000004,0.31801737281180514,0.08270158298546448
2000,0.02518337015741927,0.03295869498227705,0.011468822167658542,1.0000000000000004,0.31261750945366157,0.16113154200138524
5000,0.019049697819434695,0.029416374097195663,0.008675470966476802,1.0000000000000002,0.3182077721452076,0.3974901250039693
10000,0.017188332033991543,0.024683530581397717,0.007827781675934316,1.0000000000000002,0.31535969403530834,0.7894359159981832
20000,0.016739134096091474,0.02337369589788818,0.0076232113092339305,1.0000000000000002,0.31736167276099014,1.626220292004291
50000,0.01579881390362825,0.0206835305817481,0.0071949777169622465,1.0,0.31628759442764104,4.034819874999812
