L,N,shock_width,L_over_shock_width,total_RMSE,bc_mismatch_RMSE,grw_particle_RMSE,L2_h,rel_L2,runtime_s
4.0,400,1.0,4.0,0.17650278236250638,0.17193713863813836,0.08132750169551946,0.35344765076515033,0.24499742690186416,0.002093874994898215
6.0,600,1.0,6.0,0.17555778841773967,0.13841281171446737,0.094285032716084,0.4303858063977965,0.21466203789102667,0.002636708988575265
8.0,800,1.0,8.0,0.20776655225701646,0.11963296412404384,0.14912367110914987,0.5880201795504885,0.23983168842539604,0.0033945410104934126
10.0,1000,1.0,10.0,0.24463881951452066,0.10698418951515849,0.2206610257106084,0.7740029720455326,0.2734772632799749,0.003962750022765249
