L,N,seed,E_det_rmse,E_grw_rmse,E_total_rmse
4.0,400,42,0.17193713863813836,0.08132750169551946,0.17650278236250638
4.0,400,43,0.17193713863813836,0.13340284784365,0.20718027672666686
4.0,400,44,0.17193713863813836,0.08689569196186081,0.198853063325595
4.0,400,45,0.17193713863813836,0.10490072001408096,0.17997419964350583
4.0,400,46,0.17193713863813836,0.0713430234871117,0.1694613751162361
4.0,400,47,0.17193713863813836,0.07802419702502243,0.20749199427007478
4.0,400,48,0.17193713863813836,0.125587767358327,0.24311199853097706
4.0,400,49,0.17193713863813836,0.11422286181227011,0.18606750132969585
4.0,400,50,0.17193713863813836,0.09775742648297588,0.19333996115697763
4.0,400,51,0.17193713863813836,0.10152532516773902,0.18898086772756964
4.0,400,52,0.17193713863813836,0.11809088151544127,0.22226279153276512
4.0,400,53,0.17193713863813836,0.06407609978452998,0.17911615224158123
4.0,400,54,0.17193713863813836,0.09758199017171348,0.17191913891516022
4.0,400,55,0.17193713863813836,0.11902611274903362,0.16600118216057155
4.0,400,56,0.17193713863813836,0.08985037734744492,0.20513837829454795
4.0,400,57,0.17193713863813836,0.11469371479253736,0.24319088824303076
4.0,400,58,0.17193713863813836,0.0969508820307486,0.1910867622728292
4.0,400,59,0.17193713863813836,0.07811300806535885,0.18349853320512066
4.0,400,60,0.17193713863813836,0.09802375101687272,0.17543619187615353
4.0,400,61,0.17193713863813836,0.09826379601909783,0.20958230807073
4.0,400,62,0.17193713863813836,0.11587345002410035,0.18541263330686317
4.0,400,63,0.17193713863813836,0.1161035127020165,0.19994201606271234
4.0,400,64,0.17193713863813836,0.1374392742167989,0.21214073812370204
4.0,400,65,0.17193713863813836,0.08235067980195347,0.2027570485075405
4.0,400,66,0.17193713863813836,0.11731238187157723,0.2261228489953654
4.0,400,67,0.17193713863813836,0.09361048500252606,0.2079445188613585
4.0,400,68,0.17193713863813836,0.1089586190015469,0.22342222713887325
4.0,400,69,0.17193713863813836,0.12646882009369906,0.2101833872653271
4.0,400,70,0.17193713863813836,0.10580643308136276,0.21338497078344013
4.0,400,71,0.17193713863813836,0.15730815090279404,0.22699654489075533
6.0,600,42,0.13841281171446737,0.094285032716084,0.17555778841773967
6.0,600,43,0.13841281171446737,0.11304752663193457,0.17598903087334603
6.0,600,44,0.13841281171446737,0.0992400544172419,0.15642708631542815
6.0,600,45,0.13841281171446737,0.12433692600539016,0.19175162553499267
6.0,600,46,0.13841281171446737,0.11015424912428808,0.16693466551296648
6.0,600,47,0.13841281171446737,0.15106841603052748,0.23050823388440767
6.0,600,48,0.13841281171446737,0.18342345697292872,0.24363389319470344
6.0,600,49,0.13841281171446737,0.14176980911566692,0.21408496388552578
6.0,600,50,0.13841281171446737,0.13885894339013213,0.20121323447360306
6.0,600,51,0.13841281171446737,0.0981264243794754,0.18284409833778253
6.0,600,52,0.13841281171446737,0.1155739615898256,0.19665236857048704
6.0,600,53,0.13841281171446737,0.13762140938063624,0.2262345679677564
6.0,600,54,0.13841281171446737,0.08873160366669641,0.14350055634374945
6.0,600,55,0.13841281171446737,0.1254341183274076,0.19273111646167393
6.0,600,56,0.13841281171446737,0.10702262584312501,0.15557615304549044
6.0,600,57,0.13841281171446737,0.12795354443714418,0.18926152625661563
6.0,600,58,0.13841281171446737,0.1119231332471456,0.18775031323030406
6.0,600,59,0.13841281171446737,0.1445588559557027,0.19998217615833358
6.0,600,60,0.13841281171446737,0.13505910806467902,0.19804417962511275
6.0,600,61,0.13841281171446737,0.12731737433765247,0.17883045120729446
6.0,600,62,0.13841281171446737,0.17194656890549512,0.21043893075603573
6.0,600,63,0.13841281171446737,0.11537394805254533,0.19943043003399194
6.0,600,64,0.13841281171446737,0.1331024604845676,0.2053798845724604
6.0,600,65,0.13841281171446737,0.12473194022461269,0.19179906685704048
6.0,600,66,0.13841281171446737,0.1579935337878434,0.18468805088682821
6.0,600,67,0.13841281171446737,0.104866658488818,0.15646976241836352
6.0,600,68,0.13841281171446737,0.1308864356156552,0.1976090689665468
6.0,600,69,0.13841281171446737,0.16326963842613096,0.22358026165496048
6.0,600,70,0.13841281171446737,0.11805009030942609,0.1574958341051211
6.0,600,71,0.13841281171446737,0.10665430476645643,0.16900525359892057
8.0,800,42,0.11963296412404384,0.14912367110914987,0.20776655225701646
8.0,800,43,0.11963296412404384,0.15015376348863818,0.20000568047380007
8.0,800,44,0.11963296412404384,0.11688087217802369,0.1545799033561616
8.0,800,45,0.11963296412404384,0.1528986546962768,0.21092920474052992
8.0,800,46,0.11963296412404384,0.1636715311572833,0.22632561559381476
8.0,800,47,0.11963296412404384,0.1239099679493586,0.1627871031132341
8.0,800,48,0.11963296412404384,0.14471475682847898,0.20226609902629253
8.0,800,49,0.11963296412404384,0.12172621740282506,0.13787560280937738
8.0,800,50,0.11963296412404384,0.14660859943082036,0.1929655755746758
8.0,800,51,0.11963296412404384,0.15155469582426803,0.17952019403224317
8.0,800,52,0.11963296412404384,0.17884149122250717,0.2084648432996161
8.0,800,53,0.11963296412404384,0.10623326464132819,0.1613773510691957
8.0,800,54,0.11963296412404384,0.12190574923285867,0.1752032086519387
8.0,800,55,0.11963296412404384,0.1219246343604802,0.16676485274307393
8.0,800,56,0.11963296412404384,0.1291695431561563,0.1763502806431551
8.0,800,57,0.11963296412404384,0.13178353254121097,0.20614984238522358
8.0,800,58,0.11963296412404384,0.10937165090665898,0.15961018313449643
8.0,800,59,0.11963296412404384,0.13559206335618698,0.1751699043985887
8.0,800,60,0.11963296412404384,0.15019595105555536,0.19024105428033908
8.0,800,61,0.11963296412404384,0.10463524668899991,0.15326456599259117
8.0,800,62,0.11963296412404384,0.15339193061047007,0.19583616717287294
8.0,800,63,0.11963296412404384,0.18152117809214843,0.2414556414564243
8.0,800,64,0.11963296412404384,0.13593755655372994,0.20193842613612234
8.0,800,65,0.11963296412404384,0.16138292023191303,0.2242187225659119
8.0,800,66,0.11963296412404384,0.12055138768752972,0.1671531483497989
8.0,800,67,0.11963296412404384,0.1545693574837336,0.19882110373928716
8.0,800,68,0.11963296412404384,0.1318680473468254,0.19530367845893692
8.0,800,69,0.11963296412404384,0.15072339370505253,0.19677019331083515
8.0,800,70,0.11963296412404384,0.16712122489027623,0.19838520561143622
8.0,800,71,0.11963296412404384,0.13080207036332345,0.1504183377934457
10.0,1000,42,0.10698418951515849,0.2206610257106084,0.24463881951452066
10.0,1000,43,0.10698418951515849,0.14171891021608596,0.17890834496976546
10.0,1000,44,0.10698418951515849,0.11809571508977025,0.1489419287984714
10.0,1000,45,0.10698418951515849,0.17342987912883048,0.1955138044812949
10.0,1000,46,0.10698418951515849,0.1576304780507035,0.1892230351743281
10.0,1000,47,0.10698418951515849,0.13832332588364923,0.1730633565124542
10.0,1000,48,0.10698418951515849,0.1707229885223648,0.1888230504009454
10.0,1000,49,0.10698418951515849,0.16886281633226521,0.20027616103347673
10.0,1000,50,0.10698418951515849,0.1346394417867779,0.1725719726860386
10.0,1000,51,0.10698418951515849,0.16464351713718275,0.2066202163054975
10.0,1000,52,0.10698418951515849,0.15332880432489362,0.19139939052904859
10.0,1000,53,0.10698418951515849,0.13102364053918986,0.17423879742934031
10.0,1000,54,0.10698418951515849,0.16443081670186271,0.1966230724057191
10.0,1000,55,0.10698418951515849,0.1479587001087487,0.1869155058753873
10.0,1000,56,0.10698418951515849,0.18030905191599544,0.19997038836343925
10.0,1000,57,0.10698418951515849,0.2029099864775409,0.21637674290477063
10.0,1000,58,0.10698418951515849,0.17303008020656616,0.21003724126196902
10.0,1000,59,0.10698418951515849,0.2004418385725902,0.23833905679177284
10.0,1000,60,0.10698418951515849,0.1483397953422952,0.17895292702340207
10.0,1000,61,0.10698418951515849,0.1413528546028993,0.18176137360594447
10.0,1000,62,0.10698418951515849,0.17136730243702464,0.20306224099569964
10.0,1000,63,0.10698418951515849,0.14030662204811414,0.17729754581472695
10.0,1000,64,0.10698418951515849,0.12904531696754937,0.17449343842037332
10.0,1000,65,0.10698418951515849,0.16711185007617907,0.19551443510192681
10.0,1000,66,0.10698418951515849,0.14420761895603237,0.17385114566939547
10.0,1000,67,0.10698418951515849,0.16225109879294886,0.20459978505895685
10.0,1000,68,0.10698418951515849,0.15226291605597783,0.1958960658460676
10.0,1000,69,0.10698418951515849,0.2220510444499437,0.24839647852668137
10.0,1000,70,0.10698418951515849,0.14675639432116688,0.1852701034963732
10.0,1000,71,0.10698418951515849,0.1350418836289098,0.16399352405306672
