L,N,S,E_det_rmse,E_grw_mean,E_grw_std,E_total_mean,E_total_std
4.0,400,30,0.17193713863813836,0.10436299276799037,0.020592287089372732,0.20021677603127447,0.020575467277415074
6.0,600,30,0.13841281171446737,0.12674607175650782,0.02270366320460848,0.19011348577158613,0.02375543288244599
8.0,800,30,0.11963296412404384,0.13995883080640228,0.02000712257677995,0.1872639414056812,0.024559496279527932
10.0,1000,30,0.10698418951515849,0.16007519047948893,0.02540611964038124,0.1931856649683618,0.02216747196955856
